<NUMBER OF ZONES> 36296
<NUMBER OF NODES> 36296
<FIRST THRU NODE> 1
<NUMBER OF LINKS> 94553
<END OF METADATA>


~ 	Init node	Term node	Capacity	Length	Free Flow Time	B	Power	Speed limit	Toll	Type	;
	1	2	2850	0.0144598	0.000240997	0.15	4	0	0	1	;
	2	3	1900	0.0497481	0.000829135	0.15	4	0	0	1	;
	2	25278	1900	0.206991	0.00344985	0.15	4	0	0	1	;
	3	32243	1900	0.0340266	0.00056711	0.15	4	0	0	1	;
	4	29257	1900	0.0136367	0.000272734	0.15	4	0	0	1	;
	4	7288	2850	0.0625753	0.00125151	0.15	4	0	0	1	;
	5	34916	1900	0.10407	0.0020814	0.15	4	0	0	1	;
	6	29266	1900	0.0151469	0.000302937	0.15	4	0	0	1	;
	6	28754	2850	0.249995	0.0049999	0.15	4	0	0	1	;
	7	15438	1900	0.116973	0.00233945	0.15	4	0	0	1	;
	7	15435	2850	0.0901321	0.00180264	0.15	4	0	0	1	;
	8	26688	1900	0.0733679	0.0018342	0.15	4	0	0	1	;
	8	284	2850	0.103336	0.00206672	0.15	4	0	0	1	;
	9	22850	950	0.402681	0.010067	0.15	4	0	0	1	;
	9	22839	1900	0.263622	0.00527244	0.15	4	0	0	1	;
	9	17806	2850	1.04849	0.0174749	0.15	4	0	0	1	;
	10	17093	950	0.0941552	0.00235388	0.15	4	0	0	1	;
	10	17090	1900	0.105603	0.00176005	0.15	4	0	0	1	;
	11	29990	2850	0.254939	0.00424899	0.15	4	0	0	1	;
	11	27368	3800	0.0499136	0.000998271	0.15	4	0	0	1	;
	12	15440	2850	0.150391	0.00300782	0.15	4	0	0	1	;
	12	15441	950	0.352912	0.00705823	0.15	4	0	0	1	;
	13	3796	950	0.46621	0.0116553	0.15	4	0	0	1	;
	13	126	2850	0.954058	0.0190812	0.15	4	0	0	1	;
	13	15562	1900	0.160449	0.00320898	0.15	4	0	0	1	;
	14	3798	2850	0.0905394	0.00181079	0.15	4	0	0	1	;
	14	3784	1900	0.435301	0.0108825	0.15	4	0	0	1	;
	15	32	950	0.248862	0.0041477	0.15	4	0	0	1	;
	15	30	2850	0.102038	0.00204075	0.15	4	0	0	1	;
	16	126	950	0.133507	0.00267014	0.15	4	0	0	1	;
	16	17374	2850	0.353004	0.00706009	0.15	4	0	0	1	;
	17	40	3800	0.140472	0.00280944	0.15	4	0	0	1	;
	18	25	3800	0.268692	0.00447819	0.15	4	0	0	1	;
	19	30380	2850	0.250038	0.00416729	0.15	4	0	0	1	;
	20	4625	2850	0.231979	0.00386631	0.15	4	0	0	1	;
	21	31544	1900	0.0244545	0.00048909	0.15	4	0	0	1	;
	21	22534	2850	0.0768801	0.00128133	0.15	4	0	0	1	;
	22	34630	950	0.0146323	0.000365808	0.15	4	0	0	1	;
	22	17669	2850	0.100354	0.00167257	0.15	4	0	0	1	;
	23	17667	2850	0.153591	0.00255985	0.15	4	0	0	1	;
	24	23620	950	0.181552	0.00453881	0.15	4	0	0	1	;
	24	23616	1900	0.0995809	0.00165968	0.15	4	0	0	1	;
	25	36	1900	0.411582	0.0068597	0.15	4	0	0	1	;
	25	31	2850	0.205595	0.00342658	0.15	4	0	0	1	;
	26	3857	2850	0.10126	0.00168766	0.15	4	0	0	1	;
	26	3847	950	0.0510024	0.00127506	0.15	4	0	0	1	;
	27	3788	950	0.159851	0.00399626	0.15	4	0	0	1	;
	27	28	2850	0.0644747	0.00107458	0.15	4	0	0	1	;
	28	27953	1900	0.171207	0.00285346	0.15	4	0	0	1	;
	28	29	2850	0.114675	0.00191125	0.15	4	0	0	1	;
	29	15	3800	0.246458	0.00410763	0.15	4	0	0	1	;
	30	14	3800	0.144611	0.00289223	0.15	4	0	0	1	;
	31	19044	950	0.00915843	0.000228961	0.15	4	0	0	1	;
	31	3817	2850	0.0531768	0.000886279	0.15	4	0	0	1	;
	32	39	1900	0.121215	0.0024243	0.15	4	0	0	1	;
	33	16166	950	0.238055	0.0047611	0.15	4	0	0	1	;
	33	638	1900	0.0856572	0.00171314	0.15	4	0	0	1	;
	34	11898	1900	0.123243	0.00246485	0.15	4	0	0	1	;
	35	36	1900	0.0769421	0.00153884	0.15	4	0	0	1	;
	35	31	1900	0.445976	0.00743293	0.15	4	0	0	1	;
	36	34262	1900	0.104875	0.00209751	0.15	4	0	0	1	;
	37	30378	1900	0.0210746	0.000421491	0.15	4	0	0	1	;
	37	3783	950	0.156948	0.00392371	0.15	4	0	0	1	;
	38	3783	950	0.127209	0.00318022	0.15	4	0	0	1	;
	39	41	1900	0.0754596	0.00150919	0.15	4	0	0	1	;
	39	18	1900	0.188053	0.00313422	0.15	4	0	0	1	;
	40	41	1900	0.229399	0.00458798	0.15	4	0	0	1	;
	40	18	2850	0.195837	0.00391675	0.15	4	0	0	1	;
	41	17233	1900	0.201607	0.00403214	0.15	4	0	0	1	;
	42	33551	950	0.00952526	0.000238132	0.15	4	0	0	1	;
	42	43	1900	0.107303	0.00214606	0.15	4	0	0	1	;
	43	19075	1900	0.0508595	0.00101719	0.15	4	0	0	1	;
	44	30628	2850	0.0603627	0.00120725	0.15	4	0	0	1	;
	44	115	1900	0.392082	0.00653471	0.15	4	0	0	1	;
	45	34350	2850	0.0546767	0.00109353	0.15	4	0	0	1	;
	45	46	950	0.159939	0.00266565	0.15	4	0	0	1	;
	46	19	2850	0.481288	0.00802146	0.15	4	0	0	1	;
	47	46	2850	0.0996565	0.00166094	0.15	4	0	0	1	;
	47	34350	950	0.165391	0.00275652	0.15	4	0	0	1	;
	48	19088	2850	0.0890791	0.00178158	0.15	4	0	0	1	;
	48	29943	950	0.124378	0.00310946	0.15	4	0	0	1	;
	49	34263	1900	0.0139133	0.000278265	0.15	4	0	0	1	;
	50	54	2850	0.0842716	0.00140453	0.15	4	0	0	1	;
	50	51	950	0.245349	0.00408915	0.15	4	0	0	1	;
	51	45	2850	0.121696	0.00243393	0.15	4	0	0	1	;
	52	6467	1900	0.0311423	0.000622846	0.15	4	0	0	1	;
	52	53	950	0.0451244	0.000752073	0.15	4	0	0	1	;
	53	54	950	0.190382	0.00317303	0.15	4	0	0	1	;
	54	11	3800	0.218043	0.00363405	0.15	4	0	0	1	;
	55	56	3800	0.0499144	0.000998288	0.15	4	0	0	1	;
	56	30843	1900	0.0595162	0.00119032	0.15	4	0	0	1	;
	56	21897	3800	0.0727207	0.00145441	0.15	4	0	0	1	;
	57	97	3800	0.172203	0.00344406	0.15	4	0	0	1	;
	58	65	1900	0.0105563	0.000211127	0.15	4	0	0	1	;
	58	4628	1900	0.166605	0.0033321	0.15	4	0	0	1	;
	59	58	1900	0.0111064	0.000222128	0.15	4	0	0	1	;
	59	4660	1900	0.123667	0.00247334	0.15	4	0	0	1	;
	60	28678	1900	0.00958829	0.000191766	0.15	4	0	0	1	;
	60	31729	1900	0.103486	0.00206973	0.15	4	0	0	1	;
	61	62	2850	0.114768	0.00229535	0.15	4	0	0	1	;
	62	35696	950	0.0292605	0.000731513	0.15	4	0	0	1	;
	62	64	950	0.0768024	0.00192006	0.15	4	0	0	1	;
	62	19105	2850	0.0615726	0.00123145	0.15	4	0	0	1	;
	63	191	950	0.0676911	0.00169228	0.15	4	0	0	1	;
	64	77	950	0.079897	0.00199743	0.15	4	0	0	1	;
	64	1479	950	0.0959824	0.00239956	0.15	4	0	0	1	;
	64	62	950	0.0768024	0.00192006	0.15	4	0	0	1	;
	65	34738	1900	0.0111632	0.000223263	0.15	4	0	0	1	;
	66	71	2850	0.0135955	0.000271909	0.15	4	0	0	1	;
	66	17248	2850	0.0414984	0.000829968	0.15	4	0	0	1	;
	67	68	2850	0.0290798	0.000581595	0.15	4	0	0	1	;
	67	581	1900	0.237553	0.00475105	0.15	4	0	0	1	;
	68	3727	1900	0.0767843	0.00153569	0.15	4	0	0	1	;
	68	30073	950	0.0934014	0.00233504	0.15	4	0	0	1	;
	69	17323	1900	0.0915272	0.00183054	0.15	4	0	0	1	;
	69	21894	950	0.0815997	0.00203999	0.15	4	0	0	1	;
	70	67	1900	0.00720604	0.000144121	0.15	4	0	0	1	;
	70	17245	1900	0.0902287	0.00180457	0.15	4	0	0	1	;
	71	31749	1900	0.0136154	0.000272309	0.15	4	0	0	1	;
	71	4635	2850	0.0724237	0.00144847	0.15	4	0	0	1	;
	72	3731	950	0.145398	0.00363495	0.15	4	0	0	1	;
	72	4645	1900	0.0382584	0.000765168	0.15	4	0	0	1	;
	73	16255	2850	0.0309804	0.000619609	0.15	4	0	0	1	;
	74	75	1900	0.00892936	0.000178587	0.15	4	0	0	1	;
	74	2219	1900	0.12466	0.00249319	0.15	4	0	0	1	;
	75	28630	1900	0.00885644	0.000177129	0.15	4	0	0	1	;
